"Series";"Sex";"Age";"Frequency";"Country";"Time";"Value";"Flags"
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1977";2468;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1977";1477;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1977";991;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1977";3628;
"Population";"Men";"50 to 54";"Annual";"Germany";"1977";1593;
"Population";"Women";"50 to 54";"Annual";"Germany";"1977";2035;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1977";76.1;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1977";37.1;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1977";39;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1977";1706.6;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1977";1021.2;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1977";685.4;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1977";1788;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1977";1062;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1977";726;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1977";3065;
"Population";"Men";"55 to 59";"Annual";"Germany";"1977";1253;
"Population";"Women";"55 to 59";"Annual";"Germany";"1977";1812;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1977";81.4;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1977";40.8;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1977";40.6;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1977";739;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1977";522.6;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1977";216.4;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1977";779;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1977";554;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1977";225;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1977";2879;
"Population";"Men";"60 to 64";"Annual";"Germany";"1977";1152;
"Population";"Women";"60 to 64";"Annual";"Germany";"1977";1727;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1977";40;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1977";31.4;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1977";8.6;
"Employment";"All persons";"Total";"Annual";"Germany";"1977";26010.1;
"Employment";"Men";"Total";"Annual";"Germany";"1977";16146;
"Employment";"Women";"Total";"Annual";"Germany";"1977";9864.1;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1977";27040;
"Labour Force";"Men";"Total";"Annual";"Germany";"1977";16664;
"Labour Force";"Women";"Total";"Annual";"Germany";"1977";10376;
"Population";"All persons";"Total";"Annual";"Germany";"1977";39731;
"Population";"Men";"Total";"Annual";"Germany";"1977";19471;
"Population";"Women";"Total";"Annual";"Germany";"1977";20260;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1977";1029.9;
"Unemployment";"Men";"Total";"Annual";"Germany";"1977";518;
"Unemployment";"Women";"Total";"Annual";"Germany";"1977";511.9;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1978";2201.3;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1978";1183.2;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1978";1018.1;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1978";2307;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1978";1227;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1978";1080;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1978";4924;
"Population";"Men";"15 to 19";"Annual";"Germany";"1978";2525;
"Population";"Women";"15 to 19";"Annual";"Germany";"1978";2399;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1978";105.7;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1978";43.8;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1978";61.9;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1978";3115.1;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1978";1686.4;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1978";1428.7;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1978";3292;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1978";1762;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1978";1530;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1978";4367;
"Population";"Men";"20 to 24";"Annual";"Germany";"1978";2228;
"Population";"Women";"20 to 24";"Annual";"Germany";"1978";2139;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1978";176.9;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1978";75.6;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1978";101.3;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1978";3066;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1978";1861.1;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1978";1204.9;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1978";3218;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1978";1925;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1978";1293;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1978";4266;
"Population";"Men";"25 to 29";"Annual";"Germany";"1978";2176;
"Population";"Women";"25 to 29";"Annual";"Germany";"1978";2090;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1978";152;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1978";63.9;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1978";88.1;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1978";2804.1;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1978";1837.8;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1978";966.3;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1978";2902;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1978";1886;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1978";1016;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1978";3778;
"Population";"Men";"30 to 34";"Annual";"Germany";"1978";1944;
"Population";"Women";"30 to 34";"Annual";"Germany";"1978";1834;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1978";97.9;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1978";48.2;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1978";49.7;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1978";3648.1;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1978";2398.2;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1978";1249.9;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1978";3745;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1978";2451;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1978";1294;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1978";4835;
"Population";"Men";"35 to 39";"Annual";"Germany";"1978";2502;
"Population";"Women";"35 to 39";"Annual";"Germany";"1978";2333;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1978";96.9;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1978";52.8;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1978";44.1;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1978";3342.7;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1978";2199.1;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1978";1143.6;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1978";3428;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1978";2248;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1978";1180;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1978";4473;
"Population";"Men";"40 to 44";"Annual";"Germany";"1978";2305;
"Population";"Women";"40 to 44";"Annual";"Germany";"1978";2168;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1978";85.3;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1978";48.9;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1978";36.4;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1978";2722.2;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1978";1795.7;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1978";926.5;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1978";2794;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1978";1837;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1978";957;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1978";3751;
"Population";"Men";"45 to 49";"Annual";"Germany";"1978";1912;
"Population";"Women";"45 to 49";"Annual";"Germany";"1978";1839;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1978";71.8;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1978";41.3;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1978";30.5;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1978";2417.3;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1978";1497.9;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1978";919.4;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1978";2493;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1978";1536;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1978";957;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1978";3655;
"Population";"Men";"50 to 54";"Annual";"Germany";"1978";1661;
"Population";"Women";"50 to 54";"Annual";"Germany";"1978";1994;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1978";75.7;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1978";38.1;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1978";37.6;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1978";1840.1;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1978";1094.9;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1978";745.2;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1978";1936;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1978";1144;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1978";792;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1978";3365;
"Population";"Men";"55 to 59";"Annual";"Germany";"1978";1375;
"Population";"Women";"55 to 59";"Annual";"Germany";"1978";1990;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1978";95.9;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1978";49.1;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1978";46.8;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1978";585.2;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1978";410.9;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1978";174.3;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1978";622;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1978";440;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1978";182;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1978";2529;
"Population";"Men";"60 to 64";"Annual";"Germany";"1978";1006;
"Population";"Women";"60 to 64";"Annual";"Germany";"1978";1523;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1978";36.8;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1978";29.1;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1978";7.7;
"Employment";"All persons";"Total";"Annual";"Germany";"1978";26218.1;
"Employment";"Men";"Total";"Annual";"Germany";"1978";16234.2;
"Employment";"Women";"Total";"Annual";"Germany";"1978";9983.9;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1978";27213;
"Labour Force";"Men";"Total";"Annual";"Germany";"1978";16725;
"Labour Force";"Women";"Total";"Annual";"Germany";"1978";10488;
"Population";"All persons";"Total";"Annual";"Germany";"1978";39943;
"Population";"Men";"Total";"Annual";"Germany";"1978";19634;
"Population";"Women";"Total";"Annual";"Germany";"1978";20309;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1978";994.9;
"Unemployment";"Men";"Total";"Annual";"Germany";"1978";490.8;
"Unemployment";"Women";"Total";"Annual";"Germany";"1978";504.1;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1979";2264.4;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1979";1221.7;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1979";1042.7;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1979";2346;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1979";1252;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1979";1094;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1979";5079;
"Population";"Men";"15 to 19";"Annual";"Germany";"1979";2607;
"Population";"Women";"15 to 19";"Annual";"Germany";"1979";2472;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1979";81.6;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1979";30.3;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1979";51.3;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1979";3252.9;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1979";1773.2;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1979";1479.7;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1979";3400;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1979";1832;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1979";1568;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1979";4493;
"Population";"Men";"20 to 24";"Annual";"Germany";"1979";2308;
"Population";"Women";"20 to 24";"Annual";"Germany";"1979";2185;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1979";147.1;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1979";58.8;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1979";88.3;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1979";3099.7;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1979";1863;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1979";1236.7;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1979";3229;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1979";1914;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1979";1315;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1979";4278;
"Population";"Men";"25 to 29";"Annual";"Germany";"1979";2178;
"Population";"Women";"25 to 29";"Annual";"Germany";"1979";2100;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1979";129.3;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1979";51;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1979";78.3;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1979";2852.5;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1979";1854.9;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1979";997.6;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1979";2938;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1979";1894;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1979";1044;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1979";3803;
"Population";"Men";"30 to 34";"Annual";"Germany";"1979";1957;
"Population";"Women";"30 to 34";"Annual";"Germany";"1979";1846;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1979";85.5;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1979";39.1;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1979";46.4;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1979";3525.9;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1979";2301.3;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1979";1224.6;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1979";3606;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1979";2342;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1979";1264;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1979";4629;
"Population";"Men";"35 to 39";"Annual";"Germany";"1979";2390;
"Population";"Women";"35 to 39";"Annual";"Germany";"1979";2239;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1979";80.1;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1979";40.7;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1979";39.4;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1979";3553.4;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1979";2326.7;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1979";1226.7;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1979";3627;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1979";2366;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1979";1261;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1979";4707;
"Population";"Men";"40 to 44";"Annual";"Germany";"1979";2423;
"Population";"Women";"40 to 44";"Annual";"Germany";"1979";2284;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1979";73.6;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1979";39.3;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1979";34.3;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1979";2738;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1979";1798.7;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1979";939.3;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1979";2800;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1979";1833;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1979";967;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1979";3735;
"Population";"Men";"45 to 49";"Annual";"Germany";"1979";1906;
"Population";"Women";"45 to 49";"Annual";"Germany";"1979";1829;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1979";62;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1979";34.3;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1979";27.7;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1979";2492.6;
"Employment";"Men";"50 to 54";"Annual";"Germany";"1979";1582.1;
"Employment";"Women";"50 to 54";"Annual";"Germany";"1979";910.5;
"Labour Force";"All persons";"50 to 54";"Annual";"Germany";"1979";2563;
"Labour Force";"Men";"50 to 54";"Annual";"Germany";"1979";1618;
"Labour Force";"Women";"50 to 54";"Annual";"Germany";"1979";945;
"Population";"All persons";"50 to 54";"Annual";"Germany";"1979";3718;
"Population";"Men";"50 to 54";"Annual";"Germany";"1979";1753;
"Population";"Women";"50 to 54";"Annual";"Germany";"1979";1965;
"Unemployment";"All persons";"50 to 54";"Annual";"Germany";"1979";70.4;
"Unemployment";"Men";"50 to 54";"Annual";"Germany";"1979";35.9;
"Unemployment";"Women";"50 to 54";"Annual";"Germany";"1979";34.5;
"Employment";"All persons";"55 to 59";"Annual";"Germany";"1979";1908.2;
"Employment";"Men";"55 to 59";"Annual";"Germany";"1979";1131.3;
"Employment";"Women";"55 to 59";"Annual";"Germany";"1979";776.9;
"Labour Force";"All persons";"55 to 59";"Annual";"Germany";"1979";2019;
"Labour Force";"Men";"55 to 59";"Annual";"Germany";"1979";1191;
"Labour Force";"Women";"55 to 59";"Annual";"Germany";"1979";828;
"Population";"All persons";"55 to 59";"Annual";"Germany";"1979";3544;
"Population";"Men";"55 to 59";"Annual";"Germany";"1979";1448;
"Population";"Women";"55 to 59";"Annual";"Germany";"1979";2096;
"Unemployment";"All persons";"55 to 59";"Annual";"Germany";"1979";110.8;
"Unemployment";"Men";"55 to 59";"Annual";"Germany";"1979";59.7;
"Unemployment";"Women";"55 to 59";"Annual";"Germany";"1979";51.1;
"Employment";"All persons";"60 to 64";"Annual";"Germany";"1979";516.4;
"Employment";"Men";"60 to 64";"Annual";"Germany";"1979";361.2;
"Employment";"Women";"60 to 64";"Annual";"Germany";"1979";155.2;
"Labour Force";"All persons";"60 to 64";"Annual";"Germany";"1979";552;
"Labour Force";"Men";"60 to 64";"Annual";"Germany";"1979";389;
"Labour Force";"Women";"60 to 64";"Annual";"Germany";"1979";163;
"Population";"All persons";"60 to 64";"Annual";"Germany";"1979";2302;
"Population";"Men";"60 to 64";"Annual";"Germany";"1979";914;
"Population";"Women";"60 to 64";"Annual";"Germany";"1979";1388;
"Unemployment";"All persons";"60 to 64";"Annual";"Germany";"1979";35.6;
"Unemployment";"Men";"60 to 64";"Annual";"Germany";"1979";27.8;
"Unemployment";"Women";"60 to 64";"Annual";"Germany";"1979";7.8;
"Employment";"All persons";"Total";"Annual";"Germany";"1979";26653;
"Employment";"Men";"Total";"Annual";"Germany";"1979";16464.1;
"Employment";"Women";"Total";"Annual";"Germany";"1979";10188.9;
"Labour Force";"All persons";"Total";"Annual";"Germany";"1979";27529;
"Labour Force";"Men";"Total";"Annual";"Germany";"1979";16881;
"Labour Force";"Women";"Total";"Annual";"Germany";"1979";10648;
"Population";"All persons";"Total";"Annual";"Germany";"1979";40288;
"Population";"Men";"Total";"Annual";"Germany";"1979";19884;
"Population";"Women";"Total";"Annual";"Germany";"1979";20404;
"Unemployment";"All persons";"Total";"Annual";"Germany";"1979";876;
"Unemployment";"Men";"Total";"Annual";"Germany";"1979";416.9;
"Unemployment";"Women";"Total";"Annual";"Germany";"1979";459.1;
"Employment";"All persons";"15 to 19";"Annual";"Germany";"1980";2205.5;
"Employment";"Men";"15 to 19";"Annual";"Germany";"1980";1196.8;
"Employment";"Women";"15 to 19";"Annual";"Germany";"1980";1008.7;
"Labour Force";"All persons";"15 to 19";"Annual";"Germany";"1980";2293;
"Labour Force";"Men";"15 to 19";"Annual";"Germany";"1980";1233;
"Labour Force";"Women";"15 to 19";"Annual";"Germany";"1980";1060;
"Population";"All persons";"15 to 19";"Annual";"Germany";"1980";5218;
"Population";"Men";"15 to 19";"Annual";"Germany";"1980";2687;
"Population";"Women";"15 to 19";"Annual";"Germany";"1980";2531;
"Unemployment";"All persons";"15 to 19";"Annual";"Germany";"1980";87.5;
"Unemployment";"Men";"15 to 19";"Annual";"Germany";"1980";36.2;
"Unemployment";"Women";"15 to 19";"Annual";"Germany";"1980";51.3;
"Employment";"All persons";"20 to 24";"Annual";"Germany";"1980";3401;
"Employment";"Men";"20 to 24";"Annual";"Germany";"1980";1849.7;
"Employment";"Women";"20 to 24";"Annual";"Germany";"1980";1551.3;
"Labour Force";"All persons";"20 to 24";"Annual";"Germany";"1980";3556;
"Labour Force";"Men";"20 to 24";"Annual";"Germany";"1980";1916;
"Labour Force";"Women";"20 to 24";"Annual";"Germany";"1980";1640;
"Population";"All persons";"20 to 24";"Annual";"Germany";"1980";4662;
"Population";"Men";"20 to 24";"Annual";"Germany";"1980";2409;
"Population";"Women";"20 to 24";"Annual";"Germany";"1980";2253;
"Unemployment";"All persons";"20 to 24";"Annual";"Germany";"1980";155;
"Unemployment";"Men";"20 to 24";"Annual";"Germany";"1980";66.3;
"Unemployment";"Women";"20 to 24";"Annual";"Germany";"1980";88.7;
"Employment";"All persons";"25 to 29";"Annual";"Germany";"1980";3130.6;
"Employment";"Men";"25 to 29";"Annual";"Germany";"1980";1860.1;
"Employment";"Women";"25 to 29";"Annual";"Germany";"1980";1270.5;
"Labour Force";"All persons";"25 to 29";"Annual";"Germany";"1980";3262;
"Labour Force";"Men";"25 to 29";"Annual";"Germany";"1980";1914;
"Labour Force";"Women";"25 to 29";"Annual";"Germany";"1980";1348;
"Population";"All persons";"25 to 29";"Annual";"Germany";"1980";4303;
"Population";"Men";"25 to 29";"Annual";"Germany";"1980";2197;
"Population";"Women";"25 to 29";"Annual";"Germany";"1980";2106;
"Unemployment";"All persons";"25 to 29";"Annual";"Germany";"1980";131.4;
"Unemployment";"Men";"25 to 29";"Annual";"Germany";"1980";53.9;
"Unemployment";"Women";"25 to 29";"Annual";"Germany";"1980";77.5;
"Employment";"All persons";"30 to 34";"Annual";"Germany";"1980";2990;
"Employment";"Men";"30 to 34";"Annual";"Germany";"1980";1925.8;
"Employment";"Women";"30 to 34";"Annual";"Germany";"1980";1064.2;
"Labour Force";"All persons";"30 to 34";"Annual";"Germany";"1980";3082;
"Labour Force";"Men";"30 to 34";"Annual";"Germany";"1980";1968;
"Labour Force";"Women";"30 to 34";"Annual";"Germany";"1980";1114;
"Population";"All persons";"30 to 34";"Annual";"Germany";"1980";3968;
"Population";"Men";"30 to 34";"Annual";"Germany";"1980";2045;
"Population";"Women";"30 to 34";"Annual";"Germany";"1980";1923;
"Unemployment";"All persons";"30 to 34";"Annual";"Germany";"1980";92;
"Unemployment";"Men";"30 to 34";"Annual";"Germany";"1980";42.2;
"Unemployment";"Women";"30 to 34";"Annual";"Germany";"1980";49.8;
"Employment";"All persons";"35 to 39";"Annual";"Germany";"1980";3306;
"Employment";"Men";"35 to 39";"Annual";"Germany";"1980";2132.8;
"Employment";"Women";"35 to 39";"Annual";"Germany";"1980";1173.2;
"Labour Force";"All persons";"35 to 39";"Annual";"Germany";"1980";3383;
"Labour Force";"Men";"35 to 39";"Annual";"Germany";"1980";2172;
"Labour Force";"Women";"35 to 39";"Annual";"Germany";"1980";1211;
"Population";"All persons";"35 to 39";"Annual";"Germany";"1980";4295;
"Population";"Men";"35 to 39";"Annual";"Germany";"1980";2214;
"Population";"Women";"35 to 39";"Annual";"Germany";"1980";2081;
"Unemployment";"All persons";"35 to 39";"Annual";"Germany";"1980";77;
"Unemployment";"Men";"35 to 39";"Annual";"Germany";"1980";39.2;
"Unemployment";"Women";"35 to 39";"Annual";"Germany";"1980";37.8;
"Employment";"All persons";"40 to 44";"Annual";"Germany";"1980";3709.5;
"Employment";"Men";"40 to 44";"Annual";"Germany";"1980";2414.8;
"Employment";"Women";"40 to 44";"Annual";"Germany";"1980";1294.7;
"Labour Force";"All persons";"40 to 44";"Annual";"Germany";"1980";3787;
"Labour Force";"Men";"40 to 44";"Annual";"Germany";"1980";2456;
"Labour Force";"Women";"40 to 44";"Annual";"Germany";"1980";1331;
"Population";"All persons";"40 to 44";"Annual";"Germany";"1980";4885;
"Population";"Men";"40 to 44";"Annual";"Germany";"1980";2515;
"Population";"Women";"40 to 44";"Annual";"Germany";"1980";2370;
"Unemployment";"All persons";"40 to 44";"Annual";"Germany";"1980";77.5;
"Unemployment";"Men";"40 to 44";"Annual";"Germany";"1980";41.2;
"Unemployment";"Women";"40 to 44";"Annual";"Germany";"1980";36.3;
"Employment";"All persons";"45 to 49";"Annual";"Germany";"1980";2829.1;
"Employment";"Men";"45 to 49";"Annual";"Germany";"1980";1848.6;
"Employment";"Women";"45 to 49";"Annual";"Germany";"1980";980.5;
"Labour Force";"All persons";"45 to 49";"Annual";"Germany";"1980";2892;
"Labour Force";"Men";"45 to 49";"Annual";"Germany";"1980";1883;
"Labour Force";"Women";"45 to 49";"Annual";"Germany";"1980";1009;
"Population";"All persons";"45 to 49";"Annual";"Germany";"1980";3829;
"Population";"Men";"45 to 49";"Annual";"Germany";"1980";1957;
"Population";"Women";"45 to 49";"Annual";"Germany";"1980";1872;
"Unemployment";"All persons";"45 to 49";"Annual";"Germany";"1980";62.9;
"Unemployment";"Men";"45 to 49";"Annual";"Germany";"1980";34.4;
"Unemployment";"Women";"45 to 49";"Annual";"Germany";"1980";28.5;
"Employment";"All persons";"50 to 54";"Annual";"Germany";"1980";2565.2;
